"Zanite, Perfected",G,0,,,"Gain 1$.#Reveal the top card of the Inventions deck. If it is a relic, gain 1$. Then, place that card on the bottom of that deck.","""If you could finish your life's work in your youth, they wouldn't call it a life's work."" - Malastar",Malastar,Legacy of Gravehold (Gravehold),,35,0
Jubilant Halo,S,0,,,Cast: Deal 1 damage.#Gain 1$ that can only be used to gain gems.,"""I've often said a positive attitude is basically the same as magic!"" - Claudia",Claudia,Legacy of Gravehold (Gravehold),,2,0
Mirror Shard,G,0,,,Play this as a copy of a gem in your hand.,"""Just like mom, but also BETTER!"" - Claudia",Claudia,Legacy of Gravehold (Gravehold),,3,0
Photonix Anomaly,G,0,,,"Gain 1$.#If this is the first Anomaly card you have played this turn, return this to the Regularity deck and gain a Spark from that deck.","my breaches and seeing me, and trying to draw me further",Nook,Legacy of Gravehold (Gravehold),,4,0
Mechanek Anomaly,R,5,,,"Focus one of your breaches. Repeat this once.#If this is the first Anomaly card you have played this turn, return this to the Regularity deck and gain a Crystal from that deck.",a stolen breath while plummeting to my death. I still wake up in the middle of the night remembering,Nook,Legacy of Gravehold (Gravehold),,5,0
Nihilum Anomaly,G,5,,,"Gain 2$. Silence a minion.#If this is the first Anomaly card you have played this turn, return this to the Regularity deck and gain a Crystal from that deck.",that I saw something in the Void when I experimented with it. There,Nook,Legacy of Gravehold (Gravehold),,6,0
Zeronia Anomaly,G,5,,,"Gain 2$. Any ally gains a charge.#If this is the first Anomaly card you have played this turn, return this to the Regularity deck and gain a Crystal from that deck.","into it. I have never forgotten the way the air tasted, like",Nook,Legacy of Gravehold (Gravehold),,7,0
Eternus Anomaly,G,5,,,"Gain 2$.#If this is the first Anomaly card you have played this turn, return this to the Regularity deck and gain a Crystal from that deck.",was a feeling that the very dimension itself was looking back through,Nook,Legacy of Gravehold (Gravehold),,8,0
Iris,G,0,,Gain 1$.,"When this is Harvested, gain 2$.","""Aether is not found in stones alone."" - Inco",Inco,Legacy of Gravehold (Gravehold),,2,7
Tulip,G,0,,Gain 1$.,"When this is Harvested, gain a card from the supply that costs 4$ or less.","""The applications of this world's botanical bounty are many and marvelous."" - Inco",Inco,Legacy of Gravehold (Gravehold),,3,8
Dahlia,G,0,,Gain 1$.,"When this is Harvested, deal 2 damage.","""Many plants on the surface have developed their own defense mechanisms against predators. Just like us."" - Inco",Inco,Legacy of Gravehold (Gravehold),,4,9
Rose,S,0,,Cast: Deal 1 damage.,"When this is Harvested, focus one of your breaches.","""Even a delicate flower can prick the skin."" - Inco",Inco,Legacy of Gravehold (Gravehold),,5,11
Violet,G,0,,Gain 1$.,"When this is Harvested, any ally may return a card in their discard pile to their hand.","""No matter what devastation we bring, the forest will always regrow."" - Inco",Inco,Legacy of Gravehold (Gravehold),,6,0
Sunflower,G,0,,Gain 1$. newline You may Harvest a gem in your hand.,"When this is Harvested, gain 2 life.","""The greatest source of magic is not breaches, but the sun itself. Look at everything it has created."" - Inco",Inco,Legacy of Gravehold (Gravehold),,10,0
Powdered Infinitum,G,0,,,Gain 1$ for each of your prepped Sparks.,"""Okay, I know this looks bad, but burning my gem down to ashes was actually entirely calculated and--"" - Talix",Talix,Legacy of Gravehold (Gravehold),,12,13
Bastion Flint,G,0,,,"Gain 1$.#If there are three or more player turn order cards in the turn order discard pile, gain 1 charge.","""No mage can fight alone."" - Soskel",Soskel,Legacy of Gravehold (Gravehold),,2,0
Blinding Gambit,S,0,,,"While prepped, when your turn order card is drawn, you may place it on the bottom of the turn order deck instead of resolving your turn.#Cast: Deal 1 damage.","""A true strategist waits to observe the state of the battlefield, before determining his move."" - Soskel",Soskel,Legacy of Gravehold (Gravehold),,3,0
Mazra's Studies,S,0,,,Cast: Deal 1 damage.#OR#Cast: Focus your III breach.,"""Take care of that for me, would you?"" - Mazra",Mazra,Legacy of Gravehold (Gravehold),,4,5
"Rip, Help!",R,0,,,Gain 1 charge.,"""Good boy. I can use this nicely."" - Razra",Razra,Legacy of Gravehold (Azer),,2,3
Cleansing Quartz,G,0,,,"Gain 1$.#OR#If you have focused or opened a breach this turn, gain a spell that costs 4$ or less from the supply.","""With each swirl of the breach, I feel my mind calming, my thoughts returning to me."" - Thraxir",Thraxir,Legacy of Gravehold (Azer),,18,0
Gossamer Web,S,0,,"While prepped, when you gain a card from a supply pile, gain 1 charge.",Cast: Deal 1 damage.,"""I am not obligated to finish the work, but I must continue it."" - Arachnos",Arachnos,Legacy of Gravehold (Azer),,2,0
Invigorating Voidspark,S,0,,,"While this is prepped, an additional spell may be prepped to this breach.#Cast: Deal 1 damage. Any ally draws a card for each other spell prepped to this breach.","""The magic in our world has barely scratched the surface of its potential."" - Dezmodia",Dezmodia,Legacy of Gravehold (Azer),,3,0
Devouring Voidspark,S,0,,,"While this is prepped, an additional spell may be prepped to this breach.#Cast: Deal 1 damage. Deal additional damage equal to the number of other spells prepped to this breach.","""And yet, it is the Void that is full of ruin and decay."" - Dezmodia",Dezmodia,Legacy of Gravehold (Azer),,4,0
Essence Leech,S,0,,"While prepped, when an ally gains a charge the first time on their turn, gain 1 charge.",Cast: Deal 1 damage.,"""Kel and Ilya have expanded my previously limited understanding of the passage of aether from one mage to another."" - Xaxos",Xaxos,Legacy of Gravehold (Azer),,5,0
Aetherial Glow,S,0,,"While prepped, once per each player's turn, you may discard a spell in hand to have that player gain 1$.",Cast: Deal 1 damage.,"""If it's truly forbidden magic, then why does it look so beautiful?"" - Indira",Indira,Legacy of Gravehold (Azer),,2,0
Magnificent Opal,G,0,,,Gain 1$.#You may cast a spell in your discard pile.,"""I always wanted a gem of my own. Proof that I could be the kind of mage Brama wanted."" - Indira",Indira,Legacy of Gravehold (Azer),,3,0
Eldritch Eye,S,0,,,"While this is prepped, when you open a breach during your turn, deal 2 damage.#Cast: Deal 1 damage.","""Look into the Void, my child. It's looking back."" - Yan Magda",Yan Magda,Legacy of Gravehold (Azer),,4,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
# Treasures level 1,,,,,,,,,,,
,,,,,,,,,,,
Nym's Vision,TS,0,,,"Cast: Deal 1 damage. Reveal the top card of the nemesis deck. If you revealed an attack, gain 2$.",,,The New Age (Kickstarter Exclusive),,51,0
Reeve's Raven Shard,TG,0,,,"Gain 1$. You may discard a card in hand. If you do, gain an additional 1$.",,,The New Age (Kickstarter Exclusive),,52,0
Kadir's Emerald Shard,TG,0,"A=1/L=1,$=A",,Gain 1$.#OR#Any player gains 1 life.,,,The New Age,1d,4,0
Jian's Moonstone Shard,TG,0,,,Gain 1$. Gain an additional 1$ that can only be used to gain a gem.,,,The New Age,END,59,0
Lash's Quartz Shard,TG,0,,,"Gain 1$. Reveal the top card of the turn order deck. You may place that card on the bottom or the top of the turn order deck. If you revealed a player turn order card, gain an additional 1$.",,,The New Age,END,60,0
Z'hana's Fleeting Ember,TS,0,"D=1/B,&=4-,$=C,&=W,&=C",,Cast: Deal 1 damage.#OR#Cast: Cast one of your prepped spells that costs 4$ or less without discarding it.,,,The Ancients,,62,0
Brama's Buried Light,TS,0,"D=1,A=1",,Cast: Deal 1 damage. Gain 1$.,,,The New Age,1d,2,0
Malastar's Immolate,TS,0,,"While prepped, when you suffer damage, gain 1 charge.",Cast: Deal 1 damage.,,,Into the Wild,,21,0
Adelheim's Amethyst Shard,TG,0,,,Gain 1$. Any ally may draw a card and then discard a card in hand.,,,The New Age,END,57,0
Phaedraxa's Tourmaline Shard,TG,0,,,"Gain 1$. Any ally may suffer 1 damage. If they do, they destroy a card in hand.",,,Shattered Dreams,,70,0
Mist's Garnet Shard,TG,0,"A=1/B,$=A",,Gain 1$.#OR#Cast any player's prepped spell.,,,The New Age,1d,5,0
Xaxos's Flare,TS,0,,,"Cast: Reveal the top card of the turn order deck, and then place it back on top of the turn order deck. If you revealed a player turn order card, deal 3 damage. Otherwise, deal 1 damage.",,,The New Age,END,61,0
Sparrow's Aid,TS,0,,,Cast: Deal 1 damage. Any ally may prep a spell in hand to their opened or closed breach(es).,,,The New Age (Kickstarter Exclusive),,50,0
Gex's Shattered Geode,TG,0,,,Gain 1$. You may place the top card of any ally's discard pile into your hand.,,,The New Age,END,58,0
Yan Magda's Illuminate,TS,0,,"While prepped, when you focus or open one of your breaches during your turn, deal 1 damage.",Cast: Deal 1 damage.,,,Into the Wild,,23,0
Quilius's Erasure,TS,0,,,"Cast: Deal 1 damage. If this damages a minion, deal 1 additional damage.",,,The Ancients,,61,0
Garu's Torch,TS,0,"D=1/F,$=A,&=C",,Cast: Deal 1 damage.#OR#Cast: Focus any player's breach.,,,The New Age,1d,3,0
Dezmodia's Oblivion Shard,TG,0,,,Gain 2$ that cannot be used to gain a relic or spell.,,,Into the Wild,,19,0
Ulgimor's Coal Fragment,TG,0,,,Gain 2$ and suffer 1 damage.#OR#Gain 1 life.,,,Into the Wild,,73,0
Remnant's Void Shard,TG,0,,,Gain 1$. Gain an additional 1$ that can only be used to focus or open a breach.,,,The Ancients,,60,0
Xaxos's Pyre,TS,0,,,"Cast: Deal 1 damage. Any ally may discard a card in hand. If they do, deal 2 additional damage.",,,The New Age,1d,6,0
Indira's Lone Opal,TG,0,"A=1,H,&=H,$=C,&=4-",,Gain 1$. You may cast a spell in hand that costs 4$ or less.,,,Into the Wild,,20,0
Mist's Amethyst Paragon,TG,0,,,"Gain 1$. Any ally may prep a spell in hand to their opened or closed breach(es).#Rule clarification: If it is a closed breach, it does not need to have been focused this turn.",,,Into the Wild,,22,0
Mazahaedron's Worldheart Shard,TG,0,,,Gain 1$.#OR#Gain 2$ that can only be used to gain a card. Place the next card you gain this turn on top of any ally's discard pile.,,,Shattered Dreams,,69,0
Razra's Training Whistle,TG,0,"A=1/C=1,$=C",,Gain 1$.#OR#Gain 1 charge.,,,Outcasts,1d,34,0
Sahala's Black Meteorite,TG,0,,,Gain 1$.#OR#Gain 3$ that can only be used to focus or open your IV breach.,,,Outcasts (Kickstarter Exclusive),,110,0
Rhia's Planar Pocket,TG,0,,,Gain 1$. Gain an additional 1$ that can only be used to gain a relic.,,,Outcasts,1d,32,0
Talix's Everburn,TG,0,,,Gain 1$. Discard up to three spells in hand. Gain 1$ for each spell discarded this way.,,,Outcasts,1d,33,0
Claudia's Aetherscope,TG,0,,,"Gain 1$.#OR#Any ally may lose 1 charge. If they do, gain 2 charges.",,,Return to Gravehold,,18,0
Lost's Forged Spark,TS,0,,"When the game starts, add a Crystal to your discard pile.",Cast: Deal 2 damage.,,,Outcasts,1d,35,0
Lost's Forged Crystal,TG,0,,"When the game starts, add a Crystal to your discard pile.",Gain 2$.,,,Southern Village,,58,0
Qu's Void Radite,TG,0,,,"Gain 1$. You may cast any player's prepped spell. That spell deals 1 less damage, minimum 1.",,,Return to Gravehold,,20,0
Soskel's Lucky Coin,TG,0,,,"Gain 1$. You may lose 1 charge. If you do, gain an additional 2$.",,,Return to Gravehold,,19,0
Nook's Mystic Flourish,TG,0,,,"Gain 1$. Cast a spell in your hand. If that spell costs 1$ or more, return that spell to its supply pile, gain a spell from any supply pile that costs less than the cast spell, and gain 1 charge.",,,Outcasts (Kickstarter Exclusive),,111,0
Inco's Spreading Emerald,TG,0,,,"Gain 1$.#OR#The next time you gain a card that costs 3$ or less this turn, any ally gains a copy of that card from the supply.",,,Southern Village,,57,0
Gygar's Tsunami,TS,0,,,"Cast: Deal 1 damage. You may lose 1 charge. If you do, deal 3 additional damage.",,,Return to Gravehold,,22,0
Taqren's Gift of Spirit,TS,0,,,Cast: Deal 1 damage.#OR#Cast: Any ally draws a card.,,,Return to Gravehold,,21,0
Mazra's Thesis,TS,0,,,Cast: Deal 1 damage. Focus any player's III breach.,,,Outcasts,1d,36,0
,,,,,,,,,,,
Crystal,G,0,A=1;T=Common,,Gain 1$.,,Starter,Aeon's End,,0,0
Spark,S,0,D=1;T=Common,,Cast: Deal 1 damage.,,Starter,War Eternal,,0,0
,,,,,,,,,,,
# Nemesis cards that go into players' decks,,,,,,,,,,,
,,,,,,,,,,,
Tainted Jade,G,0,;N=Blight Lord,Use this only when playing with Blight Lord.,"Gain 2$. Suffer 1 damage.#OR#Spend 2$ to destroy this. If you destroy this card in any other way, suffer 1 damage. When you destroy it, return this to the Tainted Jade supply pile.","""The tainted jade calls to those weak enough to listen."" - Ghan, Gem Scavenger",Special,The Nameless,,48,55
,,,,,,,,,,,
[X:A] Flare,X,3,;N=Xaxos: Ascended,,"Cast: Gravehold suffers 1 damage. Reveal the top card of the turn order deck. If a player turn order card was revealed, that player suffers 2 damage.",,Special,Legacy,VIII,25,26
[X:A] Gravity Node,X,3,;N=Xaxos: Ascended,,Cast: Any player suffers 2 damage and discards a card in hand.,,Special,Legacy,VIII,27,28
[X:A] Incinerating Fist,X,3,;N=Xaxos: Ascended,,Cast: Gravehold suffers 3 damage.,,Special,Legacy,VIII,29,30
[X:A] Breach Communion,X,4,;N=Xaxos: Ascended,,Cast: The player with the most pulse tokens loses 1 pulse token and suffers 3 damage.,,Special,Legacy,VIII,31,0
[X:A] Pyromancy,X,4,;N=Xaxos: Ascended,,Cast: The players collectively discard two cards in hand. Gravehold suffers 3 damage.,,Special,Legacy,VIII,32,0
[X:A] Sparking Siphon,X,4,;N=Xaxos: Ascended,,"Cast: Any player loses 1 pulse token and suffers 2 damage. If 1 pulse token was lost this way, Xaxos: Ascended gains 3 life.",,Special,Legacy,VIII,33,0
[X:A] Breach Collision,X,5,;N=Xaxos: Ascended,,Cast: Gravehold suffers 5 damage.,,Special,Legacy,VIII,34,0
[X:A] Monstrous Inferno,X,5,;N=Xaxos: Ascended,,Cast: The players collectively suffer 7 damage.,,Special,Legacy,VIII,35,0
[X:A] Pyro Geist,X,5,;N=Xaxos: Ascended,,Cast: Any player suffers 2 damage. A different player suffers 3 damage.,,Special,Legacy,VIII,36,0
,,,,,,,,,,,
Cracked Onyx,G,0,;N=The Wailing,"Use this only when playing with The Wailing.#When this is destroyed, return it to its supply pile.",Gain 1$.#OR#Return this and up to one Cracked Onyx in your discard pile to its supply pile.,,Special,Shattered Dreams,,74,93
,,,,,,,,,,,
Soulfire,G,3,;N=Fountain of Souls,Use this card when playing Fountain of Souls.,Gain 1$. The Lantern gains 1 fuel.#OR#Gain 1$. Discard 1 soul.,,Special,Outcasts,4,2,11
